Registros de Boletins de Ocorrências por munícipio e mês - 2004;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;01;01/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;03;03/2004;2
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;05;05/2004;4
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;06;06/2004;2
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;07;07/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;08;08/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;09;09/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Estupro;11;11/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;01;01/2004;20
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;02;02/2004;4
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;04;04/2004;5
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;05;05/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;07;07/2004;10
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;08;08/2004;6
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;09;09/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;10;10/2004;10
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;11;11/2004;9
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Furto de veículo;12;12/2004;11
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;01;01/2004;5
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;02;02/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;03;03/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;04;04/2004;2
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;05;05/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;06;06/2004;3
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;07;07/2004;1
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;08;08/2004;2
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;10;10/2004;4
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Homicídio doloso;11;11/2004;5
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Roubo de veículo;02;02/2004;4
SUDESTE;ES;Espírito Santo;3201209;Cachoeiro De Itapemirim;Roubo de veículo;12;12/2004;2
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;01;01/2004;39
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;02;02/2004;31
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;03;03/2004;25
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;04;04/2004;26
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;05;05/2004;25
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;06;06/2004;20
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;07;07/2004;21
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;08;08/2004;22
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;09;09/2004;37
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;10;10/2004;31
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;11;11/2004;23
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Homicídio doloso;12;12/2004;31
SUDESTE;ES;Espírito Santo;3201308;Cariacica;Roubo seguido de morte (latrocínio);10;10/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Estupro;05;05/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Estupro;06;06/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;01;01/2004;10
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;03;03/2004;16
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;06;06/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;07;07/2004;7
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;08;08/2004;9
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;09;09/2004;6
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;10;10/2004;14
SUDESTE;ES;Espírito Santo;3201506;Colatina;Furto de veículo;12;12/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;01;01/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;03;03/2004;2
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;04;04/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;05;05/2004;3
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;06;06/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;07;07/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;08;08/2004;3
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;09;09/2004;2
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;10;10/2004;2
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;12;12/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Roubo de veículo;08;08/2004;2
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;04;04/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;06;06/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Furto de veículo;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;01;01/2004;41
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;02;02/2004;30
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;03;03/2004;24
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;04;04/2004;29
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;05;05/2004;30
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;06;06/2004;35
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;07;07/2004;27
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;08;08/2004;46
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;09;09/2004;42
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;10;10/2004;44
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;11;11/2004;34
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;12;12/2004;23
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;02;02/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;08;08/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;09;09/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;01;01/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;02;02/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;03;03/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;04;04/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;06;06/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;08;08/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;10;10/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;12;12/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;01;01/2004;17
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;02;02/2004;20
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;03;03/2004;20
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;04;04/2004;19
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;05;05/2004;23
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;06;06/2004;12
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;07;07/2004;24
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;08;08/2004;26
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;09;09/2004;17
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;10;10/2004;19
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;11;11/2004;12
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;12;12/2004;23
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;01;01/2004;1
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;02;02/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;03;03/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;04;04/2004;11
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;05;05/2004;1
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;06;06/2004;5
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;07;07/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;08;08/2004;37
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;09;09/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;10;10/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;11;11/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;12;12/2004;2
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;01;01/2004;229
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;02;02/2004;200
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;03;03/2004;217
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;04;04/2004;221
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;05;05/2004;213
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;06;06/2004;191
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;07;07/2004;235
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;08;08/2004;239
