Registros de Boletins de Ocorrências por munícipio e mês - 2005.;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;01;01/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;03;03/2005;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;04;04/2005;11
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;05;05/2005;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;06;06/2005;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;07;07/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;09;09/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;10/2005;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;11/2005;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;12/2005;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;01;01/2005;192
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;02;02/2005;177
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;03;03/2005;211
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;04;04/2005;217
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;05;05/2005;210
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;06;06/2005;251
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;07;07/2005;188
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;08;08/2005;177
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;09;09/2005;196
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;10/2005;220
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;11/2005;230
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;12/2005;242
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;03;03/2005;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;04;04/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;05;05/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;06;06/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;07;07/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;08;08/2005;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;09;09/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;10/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;11/2005;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;12/2005;4
