Registros de Boletins de Ocorrências por munícipio e mês - 2009.;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;01;01/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;02;02/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;03;03/2009;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;04;04/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;05;05/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;06;06/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;07;07/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;09;09/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;10/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;11/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;12/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;01;01/2009;179
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;02;02/2009;159
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;03;03/2009;218
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;04;04/2009;202
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;05;05/2009;183
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;06;06/2009;191
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;07;07/2009;188
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;08;08/2009;210
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;09;09/2009;175
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;10/2009;174
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;11/2009;158
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;12/2009;164
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;01;01/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;02;02/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;03;03/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;04;04/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;05;05/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;06;06/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;07;07/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;08;08/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;10/2009;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;11/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;01;01/2009;20
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;02;02/2009;42
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;03;03/2009;49
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;04;04/2009;25
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;05;05/2009;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;06;06/2009;13
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;07;07/2009;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;08;08/2009;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;09;09/2009;13
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;10/2009;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;11/2009;16
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;12/2009;16
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);03;03/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);04;04/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);05;05/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);06;06/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);07;07/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);10;10/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);11;11/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;02;02/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;03;03/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;04;04/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;05;05/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;06;06/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;07;07/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;09;09/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;10/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;11;11/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;01;01/2009;23
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;02;02/2009;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;03;03/2009;41
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;04;04/2009;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;05;05/2009;47
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;06;06/2009;47
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;07;07/2009;30
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;08;08/2009;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;09;09/2009;57
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;10/2009;50
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;11/2009;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;12/2009;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;01;01/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;02;02/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;03;03/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;04;04/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;05;05/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;06;06/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;07;07/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;08;08/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;10;10/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;11;11/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;12;12/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;01;01/2009;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;02;02/2009;18
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;03;03/2009;21
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;04;04/2009;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;05;05/2009;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;06;06/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;07;07/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;08;08/2009;8
